size,60,75,90,110,125,200
14,15,20,25,25,30,35
12,20,25,30,30,35,40
10,30,35,40,45,45,60
8,40,50,55,65,65,80
6,55,65,75,80,90,110
4,70,85,95,105,115,140
3,85,100,115,125,135,165
2,95,115,130,145,155,190
1,110,130,145,165,175,215
1/0,125,150,170,190,200,245
2/0,145,175,195,220,235,290
3/0,165,200,225,255,270,330
4/0,195,230,260,290,310,380
250,215,255,290,320,345,0
300,240,285,320,360,385,0
350,260,310,350,390,420,0
400,280,335,380,425,450,0
500,320,380,430,480,510,0
600,350,420,475,530,565,0
750,400,475,535,600,640,0
1000,455,545,615,690,735,0
